Temperature,pH,Methane,result
23.79821146,5.911570751,1.497427991,0
27.25350402,6.738997518,1.779510053,0
24.52714268,6.082827348,1.443426726,0
22.38857105,5.567726712,1.166122371,0
22.37802173,5.563351427,1.101620245,0
22.9370124,5.69566574,1.094072119,0
22.6131326,5.616091141,0.998236946,0
21.33112731,5.306566424,0.806589224,0
20.80098914,5.177489815,0.690128213,0
20.29634118,5.054530859,0.576216225,0
18.48025015,4.616825565,0.331159929,0
19.57581156,4.877916854,0.377268876,0
15.95744484,4.007665395,0,0
19.85632543,4.94155329,0.278425877,0
17.54303435,4.384519984,0,0
17.16787645,4.292638641,0,0
20.28892275,5.039846304,0.13134403,0
23.23153071,5.744228768,0.362157633,0
22.12573378,5.476994058,0.305834817,0
16.0226066,4.010400087,0,0
17.5937036,4.385619921,0.01854989,0
22.53861775,5.570555871,0.59600035,0
17.84938714,4.443297076,0.210036334,0
19.86293859,4.924705976,0.494350525,0
21.91856755,5.41621348,0.782872466,0
18.24149201,4.531871902,0.498123957,0
21.04470775,5.202800233,0.861404577,0
17.56512109,4.365855987,0.596404956,0
19.51568155,4.832147052,0.874420049,0
21.93747134,5.411533153,1.199558072,0
17.27444801,4.290564107,0.816214785,0
22.47703503,5.537341544,1.419432532,0
21.44566953,5.287970377,1.399255028,0
22.99490475,5.657943383,1.637137595,0
22.29238104,5.487494245,1.64984427,0
25.26976272,6.200222401,2.049662111,0
22.30438424,5.486688119,1.867536337,0
21.04972047,5.183725368,1.856482033,0
22.56088942,5.544562468,2.122011001,0
23.74530208,5.826978058,2.35486434,0
22.64111852,5.560130557,2.358858057,0
22.75235891,5.584984804,2.48439417,0
21.0278118,5.169250051,2.426351532,0
21.25745007,5.222519788,2.563727432,0
19.54010052,4.80851245,2.50640455,0
27.5524669,6.729636933,3.422053261,0
20.20077829,4.96338822,2.801296474,0
21.71008473,5.323778317,3.06663919,0
21.7782409,5.338292351,3.18786688,0
25.94348134,6.336106611,3.718802998,0
23.10070754,5.651997452,3.548937692,0
27.08934826,6.607427777,4.062213837,0
22.26054757,5.446672164,3.565332323,0
24.39094848,5.956124936,3.580999683,0
21.35428439,5.225482107,3.079960542,0
28.55471379,6.951741715,3.602630751,0
19.97203387,4.890055087,2.546990028,0
23.46477064,5.726468465,2.698890973,0
24.02385002,5.858804068,2.557426179,0
23.2230945,5.664779298,2.279977897,0
21.47456656,5.243289144,1.907752371,0
21.36242291,5.21453122,1.699165274,0
21.54569228,5.256672423,1.520119481,0
20.81784755,5.080146239,1.249962276,0
23.34423929,5.68463681,1.305228719,0
26.21003795,6.370585041,1.394435853,0
19.03918993,4.647738069,0.47997832,0
16.75760089,4.098313253,0.054446685,0
19.71059216,4.805187712,0.152373081,0
26.18489447,6.357176819,0.644927334,0
17.73108933,4.326420137,0,0
23.84272238,5.791368622,0.409779201,0
23.94383702,5.813792689,0.419425204,0
18.370269,4.474292917,0,0
21.18135192,5.147109371,0.14224577,0
23.8345404,5.782031159,0.407099156,0
18.82038411,4.576790202,0,0
19.26390718,4.681392292,0,0
18.32331042,4.453805621,0,0
17.2452755,4.193233793,0,0
18.16362808,4.411794965,0,0
16.7316259,4.066270994,0,0
19.88133985,4.820358896,0.008520867,0
17.87585272,4.337198538,0,0
20.3899052,4.938727686,0.058446478,0
15.92035592,3.864192412,0,0
20.64716383,4.996782863,0.087301352,0
22.17206679,5.360916127,0.444617678,0
15.37218642,3.72710139,0,0
21.55994809,5.210320743,0.793057865,0
